id,name,category,description,price
123,Electric Drives and Controls Product 123,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,18984.76
124,Hägglunds Product 124,Hägglunds,High-quality hägglunds solution designed for industrial use.,16549.46
125,Kassow Robots Product 125,Kassow Robots,High-quality kassow robots solution designed for industrial use.,16038.88
126,Moulding and Casting Technologies Product 126,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,5721.37
127,Kassow Robots Product 127,Kassow Robots,High-quality kassow robots solution designed for industrial use.,3445.51
128,Moulding and Casting Technologies Product 128,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,10166.8
129,Kassow Robots Product 129,Kassow Robots,High-quality kassow robots solution designed for industrial use.,18771.9
130,Kassow Robots Product 130,Kassow Robots,High-quality kassow robots solution designed for industrial use.,9586.37
131,Gear Technology Product 131,Gear Technology,High-quality gear technology solution designed for industrial use.,17426.39
132,Gear Technology Product 132,Gear Technology,High-quality gear technology solution designed for industrial use.,13244.14
133,Tightening Technology Product 133,Tightening Technology,High-quality tightening technology solution designed for industrial use.,7257.47
134,Gear Technology Product 134,Gear Technology,High-quality gear technology solution designed for industrial use.,6343.77
135,Kassow Robots Product 135,Kassow Robots,High-quality kassow robots solution designed for industrial use.,16347.17
136,Mobile Hydraulics and Electronics Product 136,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,11815.28
137,Assembly Technology Product 137,Assembly Technology,High-quality assembly technology solution designed for industrial use.,14293.36
138,Hägglunds Product 138,Hägglunds,High-quality hägglunds solution designed for industrial use.,788.9
139,Assembly Technology Product 139,Assembly Technology,High-quality assembly technology solution designed for industrial use.,19938.34
140,Mobile Hydraulics and Electronics Product 140,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,18499.1
141,Moulding and Casting Technologies Product 141,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,1098.21
142,Assembly Technology Product 142,Assembly Technology,High-quality assembly technology solution designed for industrial use.,13303.1
143,Mobile Robotics Product 143,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,12067.77
144,Mobile Robotics Product 144,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,13849.81
145,Assembly Technology Product 145,Assembly Technology,High-quality assembly technology solution designed for industrial use.,8304.33
146,Hägglunds Product 146,Hägglunds,High-quality hägglunds solution designed for industrial use.,13416.81
147,Hägglunds Product 147,Hägglunds,High-quality hägglunds solution designed for industrial use.,18548.04
148,Linear Motion Technology Product 148,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,7183.38
149,Linear Motion Technology Product 149,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,4446.36
150,Resistance Welding Product 150,Resistance Welding,High-quality resistance welding solution designed for industrial use.,10336.47
151,Assembly Technology Product 151,Assembly Technology,High-quality assembly technology solution designed for industrial use.,5686.07
152,Linear Motion Technology Product 152,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,3662.44
153,Kassow Robots Product 153,Kassow Robots,High-quality kassow robots solution designed for industrial use.,6565.83
154,Electric Drives and Controls Product 154,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,7379.19
155,Gear Technology Product 155,Gear Technology,High-quality gear technology solution designed for industrial use.,6287.82
156,Gear Technology Product 156,Gear Technology,High-quality gear technology solution designed for industrial use.,9120.76
157,Electric Drives and Controls Product 157,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,19579.64
158,Gear Technology Product 158,Gear Technology,High-quality gear technology solution designed for industrial use.,12353.24
159,Moulding and Casting Technologies Product 159,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,18027.69
160,Moulding and Casting Technologies Product 160,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,15133.9
161,Linear Motion Technology Product 161,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,16512.88
162,Resistance Welding Product 162,Resistance Welding,High-quality resistance welding solution designed for industrial use.,17315.43
163,Resistance Welding Product 163,Resistance Welding,High-quality resistance welding solution designed for industrial use.,16116.26
164,Electric Drives and Controls Product 164,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,9293.79
165,Assembly Technology Product 165,Assembly Technology,High-quality assembly technology solution designed for industrial use.,4320.14
166,Mobile Robotics Product 166,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,1979.53
167,Mobile Robotics Product 167,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,4623.26
168,Assembly Technology Product 168,Assembly Technology,High-quality assembly technology solution designed for industrial use.,18562.59
169,Industrial Hydraulics Product 169,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,3123.32
170,Mobile Robotics Product 170,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,8545.74
171,Mobile Hydraulics and Electronics Product 171,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,11767.76
172,Gear Technology Product 172,Gear Technology,High-quality gear technology solution designed for industrial use.,18885.99
173,Assembly Technology Product 173,Assembly Technology,High-quality assembly technology solution designed for industrial use.,6425.15
174,Mobile Hydraulics and Electronics Product 174,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,5949.58
175,Hägglunds Product 175,Hägglunds,High-quality hägglunds solution designed for industrial use.,7821.42
176,Tightening Technology Product 176,Tightening Technology,High-quality tightening technology solution designed for industrial use.,5531.78
177,Moulding and Casting Technologies Product 177,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,18106.5
178,Linear Motion Technology Product 178,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,6664.22
179,Moulding and Casting Technologies Product 179,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,15223.49
180,Mobile Hydraulics and Electronics Product 180,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,19370.06
181,Hägglunds Product 181,Hägglunds,High-quality hägglunds solution designed for industrial use.,4430.09
182,Hägglunds Product 182,Hägglunds,High-quality hägglunds solution designed for industrial use.,12141.78
183,Moulding and Casting Technologies Product 183,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,16359.4
184,Mobile Robotics Product 184,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,14961.17
185,Kassow Robots Product 185,Kassow Robots,High-quality kassow robots solution designed for industrial use.,4696.55
186,Tightening Technology Product 186,Tightening Technology,High-quality tightening technology solution designed for industrial use.,1933.37
187,Hägglunds Product 187,Hägglunds,High-quality hägglunds solution designed for industrial use.,12646.66
188,Tightening Technology Product 188,Tightening Technology,High-quality tightening technology solution designed for industrial use.,13563.35
189,Mobile Hydraulics and Electronics Product 189,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,6734.95
190,Industrial Hydraulics Product 190,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,6487.9
191,Linear Motion Technology Product 191,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,17750.31
192,Hägglunds Product 192,Hägglunds,High-quality hägglunds solution designed for industrial use.,3564.97
193,Linear Motion Technology Product 193,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,19121.45
194,Electric Drives and Controls Product 194,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,5658.5
195,Tightening Technology Product 195,Tightening Technology,High-quality tightening technology solution designed for industrial use.,3277.93
196,Moulding and Casting Technologies Product 196,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,4360.6
197,Linear Motion Technology Product 197,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,11748.46
198,Gear Technology Product 198,Gear Technology,High-quality gear technology solution designed for industrial use.,5524.57
199,Tightening Technology Product 199,Tightening Technology,High-quality tightening technology solution designed for industrial use.,12333.43
200,Electric Drives and Controls Product 200,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,2216.08
201,Resistance Welding Product 201,Resistance Welding,High-quality resistance welding solution designed for industrial use.,2290.67
202,Mobile Robotics Product 202,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,1070.88
203,Mobile Robotics Product 203,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,13985.86
204,Mobile Hydraulics and Electronics Product 204,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,11595.72
205,Linear Motion Technology Product 205,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,9923.54
206,Tightening Technology Product 206,Tightening Technology,High-quality tightening technology solution designed for industrial use.,13079.47
207,Tightening Technology Product 207,Tightening Technology,High-quality tightening technology solution designed for industrial use.,13455.92
208,Resistance Welding Product 208,Resistance Welding,High-quality resistance welding solution designed for industrial use.,3012.17
209,Mobile Robotics Product 209,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,2031.25
210,Linear Motion Technology Product 210,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,18924.01
211,Assembly Technology Product 211,Assembly Technology,High-quality assembly technology solution designed for industrial use.,2491.52
212,Moulding and Casting Technologies Product 212,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,9110.55
213,Industrial Hydraulics Product 213,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,3635.76
214,Industrial Hydraulics Product 214,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,14507.0
215,Mobile Robotics Product 215,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,3435.99
216,Mobile Robotics Product 216,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,3900.15
217,Linear Motion Technology Product 217,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,13097.21
218,Industrial Hydraulics Product 218,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,10012.49
219,Industrial Hydraulics Product 219,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,7304.92
220,Assembly Technology Product 220,Assembly Technology,High-quality assembly technology solution designed for industrial use.,17670.83
221,Gear Technology Product 221,Gear Technology,High-quality gear technology solution designed for industrial use.,11776.48
222,Mobile Robotics Product 222,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,6632.26
223,Mobile Hydraulics and Electronics Product 223,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,17435.97
224,Linear Motion Technology Product 224,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,3799.93
225,Gear Technology Product 225,Gear Technology,High-quality gear technology solution designed for industrial use.,15126.25
226,Hägglunds Product 226,Hägglunds,High-quality hägglunds solution designed for industrial use.,7719.64
227,Electric Drives and Controls Product 227,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,6367.74
228,Tightening Technology Product 228,Tightening Technology,High-quality tightening technology solution designed for industrial use.,4862.5
229,Linear Motion Technology Product 229,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,8929.68
230,Gear Technology Product 230,Gear Technology,High-quality gear technology solution designed for industrial use.,11993.35
231,Moulding and Casting Technologies Product 231,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,6979.05
232,Hägglunds Product 232,Hägglunds,High-quality hägglunds solution designed for industrial use.,18444.84
233,Mobile Robotics Product 233,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,7609.43
234,Assembly Technology Product 234,Assembly Technology,High-quality assembly technology solution designed for industrial use.,14383.25
235,Mobile Hydraulics and Electronics Product 235,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,15960.77
236,Resistance Welding Product 236,Resistance Welding,High-quality resistance welding solution designed for industrial use.,14573.89
237,Linear Motion Technology Product 237,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,12776.0
238,Moulding and Casting Technologies Product 238,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,18050.02
239,Resistance Welding Product 239,Resistance Welding,High-quality resistance welding solution designed for industrial use.,6144.31
240,Tightening Technology Product 240,Tightening Technology,High-quality tightening technology solution designed for industrial use.,18488.1
241,Hägglunds Product 241,Hägglunds,High-quality hägglunds solution designed for industrial use.,2527.35
242,Industrial Hydraulics Product 242,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,15334.94
243,Linear Motion Technology Product 243,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,1675.81
244,Tightening Technology Product 244,Tightening Technology,High-quality tightening technology solution designed for industrial use.,16839.77
245,Kassow Robots Product 245,Kassow Robots,High-quality kassow robots solution designed for industrial use.,6715.04
246,Gear Technology Product 246,Gear Technology,High-quality gear technology solution designed for industrial use.,5000.01
247,Mobile Hydraulics and Electronics Product 247,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,680.48
248,Assembly Technology Product 248,Assembly Technology,High-quality assembly technology solution designed for industrial use.,13099.34
249,Gear Technology Product 249,Gear Technology,High-quality gear technology solution designed for industrial use.,4899.76
250,Linear Motion Technology Product 250,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,5214.09
251,Tightening Technology Product 251,Tightening Technology,High-quality tightening technology solution designed for industrial use.,5986.9
252,Electric Drives and Controls Product 252,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,13147.98
253,Moulding and Casting Technologies Product 253,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,4576.93
254,Gear Technology Product 254,Gear Technology,High-quality gear technology solution designed for industrial use.,5296.84
255,Electric Drives and Controls Product 255,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,11529.48
256,Industrial Hydraulics Product 256,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,10608.57
257,Assembly Technology Product 257,Assembly Technology,High-quality assembly technology solution designed for industrial use.,10516.72
258,Hägglunds Product 258,Hägglunds,High-quality hägglunds solution designed for industrial use.,4443.46
259,Linear Motion Technology Product 259,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,12659.46
260,Industrial Hydraulics Product 260,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,12652.69
261,Moulding and Casting Technologies Product 261,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,11045.53
262,Mobile Hydraulics and Electronics Product 262,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,14627.53
263,Hägglunds Product 263,Hägglunds,High-quality hägglunds solution designed for industrial use.,16113.27
264,Mobile Hydraulics and Electronics Product 264,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,15009.58
265,Assembly Technology Product 265,Assembly Technology,High-quality assembly technology solution designed for industrial use.,3288.42
266,Gear Technology Product 266,Gear Technology,High-quality gear technology solution designed for industrial use.,16950.7
267,Tightening Technology Product 267,Tightening Technology,High-quality tightening technology solution designed for industrial use.,17651.08
268,Electric Drives and Controls Product 268,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,19773.75
269,Kassow Robots Product 269,Kassow Robots,High-quality kassow robots solution designed for industrial use.,19681.74
270,Hägglunds Product 270,Hägglunds,High-quality hägglunds solution designed for industrial use.,1627.49
